nome,cluster_t_1,cluster_t_0.99,cluster_t_0.95,cluster_t_0.9,cluster_t_0.85,cluster_t_0.8,cluster_t_0.75,cluster_t_0.7
Baer-Matcha 350ml Matcha com Gás e Cafeína Natural,1,1,1,1,1,1,1,1
Baer-Mate 269ml - Mate com Gás e Cafeína Natural,1,1,1,1,1,1,1,1
Cerveja American Lager Puro Malte Petra Origem Lata 350ml,1,1,1,1,1,1,1,1
Cerveja Amstel Lager Lata 269ml,1,1,1,1,1,1,1,1
Cerveja Amstel Lager Lata Sleek 350ml,1,1,1,1,1,1,1,1
Cerveja Amstel Pilsen Lager 269ml 48 Unidades,1,1,1,1,1,1,1,1
Cerveja Amstel Ultra Garrafa 275ml,1,1,1,1,1,1,1,1
Cerveja Appia Colorado 350ml Lata,1,1,1,1,1,1,1,1
Cerveja Baden Baden American IPA Garrafa 600ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Cristal Garrafa 600ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Cristal Lata Sleek 350ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Golden Ale Garrafa 600ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden IPA Lata 350ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Peach Garrafa 600ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Peach Lata 350ml,1,1,1,1,1,1,1,1
Cerveja Baden Baden Witbier Lata 350ml,1,1,1,1,1,1,1,1
Cerveja Bamboa Ln 330ml,1,1,1,1,1,1,1,1
Cerveja Becks Puro Malte 330ml Long Neck,1,1,1,1,1,1,1,1
Cerveja Becks Puro Malte 350ml Lata,1,1,1,1,1,1,1,1
Cerveja Becks Puro Malte 600ml Garrafa,1,1,1,1,1,1,1,1
Cerveja Blue Moon Garrafa 355ml,1,1,1,1,1,1,1,1
Cerveja Blue Moon Lata 350ml,1,1,1,1,1,1,1,1
Cerveja Brahma Chopp Pilsen 269ml Lata Pack Caixa 15,1,1,1,1,1,1,1,1
Cerveja Brahma Duplo Malte 269ml Lata,1,1,1,1,1,1,1,1
Cerveja Brahma Duplo Malte Puro Malte 350ml Lata,1,1,1,1,1,1,1,1
Cerveja Brahma Malzbier 350ml,1,1,1,1,1,1,1,1
Cerveja Brahma Pilsen Lager 350ml 12 Unidades,1,1,1,1,1,1,1,1
Cerveja Brahma Zero 350ml Lata,1,1,1,1,1,1,1,1
Cerveja Budweiser American Lager 330ml Long Neck,1,1,1,1,1,1,1,1
Cerveja Budweiser American Lager 350ml Lata,1,1,1,1,1,1,1,1
Cerveja Budweiser American Lager Lata 269 ml,1,1,1,1,1,1,1,1
Cerveja Budweiser Pilsen 330ml - 6 Unidades,1,1,1,1,1,1,1,1
Cerveja Budweiser Pilsen 330ml 12 unidades,1,1,1,1,1,1,1,1
Cerveja Budweiser Pilsen 330ml 24 Unidades,1,1,1,1,1,1,1,1
Cerveja Budweiser Pilsen Lager 269ml 16 Unidades,1,1,1,1,1,1,1,1
Cerveja Budweiser Pilsen Lager 269ml 8 Unidades,1,1,1,1,1,1,1,1
